Date_UTC,Time_UTC,Date_CST,Time_CST,Lake_Visible,LES_Exist
20121019,6:00,20121019,0:00,N,N
20121019,7:00,20121019,1:00,N,N
20121019,8:00,20121019,2:00,N,N
20121019,9:00,20121019,3:00,N,N
20121019,10:00,20121019,4:00,N,N
20121019,11:00,20121019,5:00,N,N
20121019,12:00,20121019,6:00,N,N
20121019,13:00,20121019,7:00,N,N
20121019,14:00,20121019,8:00,N,N
20121019,15:00,20121019,9:00,Y,Y
20121019,16:00,20121019,10:00,Y,Y
20121019,17:00,20121019,11:00,Y,Y
20121019,18:00,20121019,12:00,Y,Y
20121019,19:00,20121019,13:00,Y,Y
20121019,20:00,20121019,14:00,Y,Y
20121019,21:00,20121019,15:00,Y,Y
20121019,22:00,20121019,16:00,Y,Y
20121019,23:00,20121019,17:00,Y,Y
20121020,0:00,20121019,18:00,N,N
20121020,1:00,20121019,19:00,N,N
20121020,2:00,20121019,20:00,N,N
20121020,3:00,20121019,21:00,N,N
20121020,4:00,20121019,22:00,N,N
20121020,5:00,20121019,23:00,N,N
20121020,6:00,20121020,0:00,N,N
20121020,7:00,20121020,1:00,N,N
20121020,8:00,20121020,2:00,N,N
20121020,9:00,20121020,3:00,N,N
20121020,10:00,20121020,4:00,N,N
20121020,11:00,20121020,5:00,N,N
20121020,12:00,20121020,6:00,N,N
20121020,13:00,20121020,7:00,N,N
20121020,14:00,20121020,8:00,N,N
20121020,15:00,20121020,9:00,Y,Y
20121020,16:00,20121020,10:00,Y,Y
20121020,17:00,20121020,11:00,Y,Y
20121020,18:00,20121020,12:00,Y,Y
20121020,19:00,20121020,13:00,Y,Y
20121020,20:00,20121020,14:00,Y,Y
20121020,21:00,20121020,15:00,Y,Y
20121020,22:00,20121020,16:00,Y,Y
20121020,23:00,20121020,17:00,Y,Y
20121021,0:00,20121020,18:00,N,N
20121021,1:00,20121020,19:00,N,N
20121021,2:00,20121020,20:00,N,N
20121021,3:00,20121020,21:00,N,N
20121021,4:00,20121020,22:00,N,N
20121021,5:00,20121020,23:00,N,N
20121021,6:00,20121021,0:00,N,N
20121021,7:00,20121021,1:00,N,N
20121021,8:00,20121021,2:00,N,N
20121021,9:00,20121021,3:00,N,N
20121021,10:00,20121021,4:00,N,N
20121021,11:00,20121021,5:00,N,N
20121021,12:00,20121021,6:00,N,N
20121021,13:00,20121021,7:00,N,N
20121021,14:00,20121021,8:00,N,N
20121021,15:00,20121021,9:00,Y,Y
20121021,16:00,20121021,10:00,Y,Y
20121021,17:00,20121021,11:00,Y,Y
20121021,18:00,20121021,12:00,Y,Y
20121021,19:00,20121021,13:00,Y,Y
20121021,20:00,20121021,14:00,Y,Y
20121021,21:00,20121021,15:00,Y,Y
20121021,22:00,20121021,16:00,Y,Y
20121021,23:00,20121021,17:00,Y,Y
20121022,0:00,20121021,18:00,N,N
20121022,1:00,20121021,19:00,N,N
20121022,2:00,20121021,20:00,N,N
20121022,3:00,20121021,21:00,N,N
20121022,4:00,20121021,22:00,N,N
20121022,5:00,20121021,23:00,N,N
20121022,6:00,20121022,0:00,N,N
20121022,7:00,20121022,1:00,N,N
20121022,8:00,20121022,2:00,N,N
20121022,9:00,20121022,3:00,N,N
20121022,10:00,20121022,4:00,N,N
20121022,11:00,20121022,5:00,N,N
20121022,12:00,20121022,6:00,N,N
20121022,13:00,20121022,7:00,N,N
20121022,14:00,20121022,8:00,N,N
20121022,15:00,20121022,9:00,Y,Y
20121022,16:00,20121022,10:00,Y,Y
20121022,17:00,20121022,11:00,Y,Y
20121022,18:00,20121022,12:00,Y,Y
20121022,19:00,20121022,13:00,Y,Y
20121022,20:00,20121022,14:00,Y,Y
20121022,21:00,20121022,15:00,Y,Y
20121022,22:00,20121022,16:00,Y,Y
20121022,23:00,20121022,17:00,Y,Y
20121023,0:00,20121022,18:00,N,N
20121023,1:00,20121022,19:00,N,N
20121023,2:00,20121022,20:00,N,N
20121023,3:00,20121022,21:00,N,N
20121023,4:00,20121022,22:00,N,N
20121023,5:00,20121022,23:00,N,N
20121023,6:00,20121023,0:00,N,N
20121023,7:00,20121023,1:00,N,N
20121023,8:00,20121023,2:00,N,N
20121023,9:00,20121023,3:00,N,N
20121023,10:00,20121023,4:00,N,N
20121023,11:00,20121023,5:00,N,N
20121023,12:00,20121023,6:00,N,N
20121023,13:00,20121023,7:00,N,N
20121023,14:00,20121023,8:00,N,N
20121023,15:00,20121023,9:00,Y,Y
20121023,16:00,20121023,10:00,Y,Y
20121023,17:00,20121023,11:00,Y,Y
20121023,18:00,20121023,12:00,Y,Y
20121023,19:00,20121023,13:00,Y,Y
20121023,20:00,20121023,14:00,Y,Y
20121023,21:00,20121023,15:00,Y,Y
20121023,22:00,20121023,16:00,Y,Y
20121023,23:00,20121023,17:00,Y,Y
20121024,0:00,20121023,18:00,N,N
20121024,1:00,20121023,19:00,N,N
20121024,2:00,20121023,20:00,N,N
20121024,3:00,20121023,21:00,N,N
20121024,4:00,20121023,22:00,N,N
20121024,5:00,20121023,23:00,N,N
20121024,6:00,20121024,0:00,N,N
20121024,7:00,20121024,1:00,N,N
20121024,8:00,20121024,2:00,N,N
20121024,9:00,20121024,3:00,N,N
20121024,10:00,20121024,4:00,N,N
20121024,11:00,20121024,5:00,N,N
20121024,12:00,20121024,6:00,N,N
20121024,13:00,20121024,7:00,N,N
20121024,14:00,20121024,8:00,N,N
20121024,15:00,20121024,9:00,Y,Y
20121024,16:00,20121024,10:00,Y,Y
20121024,17:00,20121024,11:00,Y,Y
20121024,18:00,20121024,12:00,Y,Y
20121024,19:00,20121024,13:00,Y,Y
20121024,20:00,20121024,14:00,Y,Y
20121024,21:00,20121024,15:00,Y,Y
20121024,22:00,20121024,16:00,Y,Y
20121024,23:00,20121024,17:00,Y,Y
20121025,0:00,20121024,18:00,N,N
20121025,1:00,20121024,19:00,N,N
20121025,2:00,20121024,20:00,N,N
20121025,3:00,20121024,21:00,N,N
20121025,4:00,20121024,22:00,N,N
20121025,5:00,20121024,23:00,N,N
20121025,6:00,20121025,0:00,N,N
20121025,7:00,20121025,1:00,N,N
20121025,8:00,20121025,2:00,N,N
20121025,9:00,20121025,3:00,N,N
20121025,10:00,20121025,4:00,N,N
20121025,11:00,20121025,5:00,N,N
20121025,12:00,20121025,6:00,N,N
20121025,13:00,20121025,7:00,N,N
20121025,14:00,20121025,8:00,N,N
20121025,15:00,20121025,9:00,Y,Y
20121025,16:00,20121025,10:00,Y,Y
20121025,17:00,20121025,11:00,Y,Y
20121025,18:00,20121025,12:00,Y,Y
20121025,19:00,20121025,13:00,Y,Y
20121025,20:00,20121025,14:00,Y,Y
20121025,21:00,20121025,15:00,Y,Y
20121025,22:00,20121025,16:00,Y,Y
20121025,23:00,20121025,17:00,Y,Y
20121026,0:00,20121025,18:00,N,N
20121026,1:00,20121025,19:00,N,N
20121026,2:00,20121025,20:00,N,N
20121026,3:00,20121025,21:00,N,N
20121026,4:00,20121025,22:00,N,N
20121026,5:00,20121025,23:00,N,N
20121026,6:00,20121026,0:00,N,N
20121026,7:00,20121026,1:00,N,N
20121026,8:00,20121026,2:00,N,N
20121026,9:00,20121026,3:00,N,N
20121026,10:00,20121026,4:00,N,N
20121026,11:00,20121026,5:00,N,N
20121026,12:00,20121026,6:00,N,N
20121026,13:00,20121026,7:00,N,N
20121026,14:00,20121026,8:00,N,N
20121026,15:00,20121026,9:00,Y,Y
20121026,16:00,20121026,10:00,Y,Y
20121026,17:00,20121026,11:00,Y,Y
20121026,18:00,20121026,12:00,Y,Y
20121026,19:00,20121026,13:00,Y,Y
20121026,20:00,20121026,14:00,Y,Y
20121026,21:00,20121026,15:00,Y,Y
20121026,22:00,20121026,16:00,Y,Y
20121026,23:00,20121026,17:00,Y,Y
20121027,0:00,20121026,18:00,N,N
20121027,1:00,20121026,19:00,N,N
20121027,2:00,20121026,20:00,N,N
20121027,3:00,20121026,21:00,N,N
20121027,4:00,20121026,22:00,N,N
20121027,5:00,20121026,23:00,N,N
20121027,6:00,20121027,0:00,N,N
20121027,7:00,20121027,1:00,N,N
20121027,8:00,20121027,2:00,N,N
20121027,9:00,20121027,3:00,N,N
